ID,Vraag,Antwoord,Taal vraag,Taal antwoord,Methode en hoofdstuk
3572,meanwhile,intussen,Engels,Nederlands,Ofcourse3-4v-H2-EN
3573,occasionally,af en toe,Engels,Nederlands,Ofcourse3-4v-H2-EN
3574,to police,bewaken (door de politie) / bewaken,Engels,Nederlands,Ofcourse3-4v-H2-EN
3575,proportion,deel,Engels,Nederlands,Ofcourse3-4v-H2-EN
3576,rarely,zelden,Engels,Nederlands,Ofcourse3-4v-H2-EN
3577,to reside,wonen (formeel) / wonen,Engels,Nederlands,Ofcourse3-4v-H2-EN
3578,significant,aanzienlijk,Engels,Nederlands,Ofcourse3-4v-H2-EN
3579,whiner,zeurpiet,Engels,Nederlands,Ofcourse3-4v-H2-EN
3580,accessibility,toegankelijkheid,Engels,Nederlands,Ofcourse3-4v-H2-EN
3581,to accomplish,volbrengen / bereiken,Engels,Nederlands,Ofcourse3-4v-H2-EN
3582,to address,aanpakken,Engels,Nederlands,Ofcourse3-4v-H2-EN
3583,administrator,iemand van de leiding,Engels,Nederlands,Ofcourse3-4v-H2-EN
3584,alienated,vervreemd,Engels,Nederlands,Ofcourse3-4v-H2-EN
3585,alienation,vervreemding,Engels,Nederlands,Ofcourse3-4v-H2-EN
3586,antidote,middel tegen negatieve effecten,Engels,Nederlands,Ofcourse3-4v-H2-EN
3587,arbitrary,willekeurig,Engels,Nederlands,Ofcourse3-4v-H2-EN
3588,authentic,echt,Engels,Nederlands,Ofcourse3-4v-H2-EN
3589,beyond,verder dan,Engels,Nederlands,Ofcourse3-4v-H2-EN
3590,boundary,grens,Engels,Nederlands,Ofcourse3-4v-H2-EN
3591,compassionate,meelevend en begripsvol,Engels,Nederlands,Ofcourse3-4v-H2-EN
3592,comprehensive,veelomvattend / uitgebreid,Engels,Nederlands,Ofcourse3-4v-H2-EN
3593,to conduct,leiden,Engels,Nederlands,Ofcourse3-4v-H2-EN
3594,to contribute to,bijdragen aan,Engels,Nederlands,Ofcourse3-4v-H2-EN
3595,to define,omschrijven,Engels,Nederlands,Ofcourse3-4v-H2-EN
3596,dignity,waardigheid,Engels,Nederlands,Ofcourse3-4v-H2-EN
3597,educator,onderwijsdeskundige,Engels,Nederlands,Ofcourse3-4v-H2-EN
3598,findings,conclusies (van een onderzoek) / conclusies,Engels,Nederlands,Ofcourse3-4v-H2-EN
3599,gesture,gebaar,Engels,Nederlands,Ofcourse3-4v-H2-EN
3600,guidelines,richtlijnen,Engels,Nederlands,Ofcourse3-4v-H2-EN
3601,to heighten,verhogen (van een gevoel) / verhogen,Engels,Nederlands,Ofcourse3-4v-H2-EN
3602,imposition,oplegging,Engels,Nederlands,Ofcourse3-4v-H2-EN
3603,to inflict pain on,iemand laten lijden,Engels,Nederlands,Ofcourse3-4v-H2-EN
3604,intervention,tussenkomst (om erger te voorkomen) / tussenkomst,Engels,Nederlands,Ofcourse3-4v-H2-EN
3605,issue,nummer (van krant/tijdschrift) / nummer,Engels,Nederlands,Ofcourse3-4v-H2-EN
3606,to lessen,verkleinen,Engels,Nederlands,Ofcourse3-4v-H2-EN
3607,likelihood,waarschijnlijkheid,Engels,Nederlands,Ofcourse3-4v-H2-EN
3608,to nourish,voeden,Engels,Nederlands,Ofcourse3-4v-H2-EN
3609,to nurture,(iets helpen) ontwikkelen / ontwikkelen,Engels,Nederlands,Ofcourse3-4v-H2-EN
3610,to observe,opmerken,Engels,Nederlands,Ofcourse3-4v-H2-EN
3611,outburst,uitbarsting,Engels,Nederlands,Ofcourse3-4v-H2-EN
3612,to be overwhelmed by,zich overvallen voelen door iets,Engels,Nederlands,Ofcourse3-4v-H2-EN
3613,probability,waarschijnlijkheid,Engels,Nederlands,Ofcourse3-4v-H2-EN
3614,renowned,beroemd en gerespecteerd,Engels,Nederlands,Ofcourse3-4v-H2-EN
3615,to resort to,zijn toevlucht nemen tot (iets negatiefs) / zijn toevlucht nemen tot,Engels,Nederlands,Ofcourse3-4v-H2-EN
3616,solely,slechts,Engels,Nederlands,Ofcourse3-4v-H2-EN
3617,to strive for,streven naar,Engels,Nederlands,Ofcourse3-4v-H2-EN
3618,late,wijlen / de overleden,Engels,Nederlands,Ofcourse3-4v-H2-EN
3619,thus,aldus / op die manier,Engels,Nederlands,Ofcourse3-4v-H2-EN
3620,transgression,overtreding,Engels,Nederlands,Ofcourse3-4v-H2-EN
3621,anxious,ongerust,Engels,Nederlands,Ofcourse3-4v-H2-EN
3622,to browse,bladeren,Engels,Nederlands,Ofcourse3-4v-H2-EN
3623,commitment,grote inzet,Engels,Nederlands,Ofcourse3-4v-H2-EN
3624,to emphasize,benadrukken,Engels,Nederlands,Ofcourse3-4v-H2-EN
3625,to evade,ontwijken,Engels,Nederlands,Ofcourse3-4v-H2-EN
3626,furious,woedend,Engels,Nederlands,Ofcourse3-4v-H2-EN
3627,newsagent's,kiosk,Engels,Nederlands,Ofcourse3-4v-H2-EN
3628,to persuade,overhalen,Engels,Nederlands,Ofcourse3-4v-H2-EN
3629,prejudice,vooroordeel,Engels,Nederlands,Ofcourse3-4v-H2-EN
3630,rage,woede,Engels,Nederlands,Ofcourse3-4v-H2-EN
3631,ratings,kijkcijfers,Engels,Nederlands,Ofcourse3-4v-H2-EN
3632,reassuring,geruststellend,Engels,Nederlands,Ofcourse3-4v-H2-EN
3633,to refer,verwijzen,Engels,Nederlands,Ofcourse3-4v-H2-EN
3634,to reject,afwijzen,Engels,Nederlands,Ofcourse3-4v-H2-EN
3635,reluctantly,met tegenzin,Engels,Nederlands,Ofcourse3-4v-H2-EN
3636,resentment,haat / wrok,Engels,Nederlands,Ofcourse3-4v-H2-EN
3637,survey,onderzoek (naar de mening van mensen) / onderzoek,Engels,Nederlands,Ofcourse3-4v-H2-EN
3638,tabloid,roddelblad,Engels,Nederlands,Ofcourse3-4v-H2-EN
3639,access,toegang,Engels,Nederlands,Ofcourse3-4v-H2-EN
3640,to assemble,in elkaar zetten,Engels,Nederlands,Ofcourse3-4v-H2-EN
3641,commodities,luxeartikelen,Engels,Nederlands,Ofcourse3-4v-H2-EN
3642,conceited,verwaand,Engels,Nederlands,Ofcourse3-4v-H2-EN
3643,council,gemeenteraad,Engels,Nederlands,Ofcourse3-4v-H2-EN
3644,council house,(gehuurde) gemeentewoning / gemeentewoning,Engels,Nederlands,Ofcourse3-4v-H2-EN
3645,detention,opsluiting,Engels,Nederlands,Ofcourse3-4v-H2-EN
3646,to have detention,nablijven op school,Engels,Nederlands,Ofcourse3-4v-H2-EN
3647,disgraceful,schandalig,Engels,Nederlands,Ofcourse3-4v-H2-EN
3648,down-to-earth,nuchter,Engels,Nederlands,Ofcourse3-4v-H2-EN
3649,to flee,ontvluchten / vluchten uit,Engels,Nederlands,Ofcourse3-4v-H2-EN
3650,indifferent,onverschillig,Engels,Nederlands,Ofcourse3-4v-H2-EN
3651,modest,bescheiden,Engels,Nederlands,Ofcourse3-4v-H2-EN
3652,odd,vreemd,Engels,Nederlands,Ofcourse3-4v-H2-EN
3653,offensive,beledigend,Engels,Nederlands,Ofcourse3-4v-H2-EN
3654,persecution,vervolging,Engels,Nederlands,Ofcourse3-4v-H2-EN
3655,mortgage,hypotheek,Engels,Nederlands,Ofcourse3-4v-H2-EN
3656,reliable,betrouwbaar,Engels,Nederlands,Ofcourse3-4v-H2-EN
3657,ruthless,meedogenloos,Engels,Nederlands,Ofcourse3-4v-H2-EN
3658,sensible,verstandig,Engels,Nederlands,Ofcourse3-4v-H2-EN
3659,uptight,zenuwachtig,Engels,Nederlands,Ofcourse3-4v-H2-EN
3660,vain,ijdel,Engels,Nederlands,Ofcourse3-4v-H2-EN
3661,to abandon,verlaten,Engels,Nederlands,Ofcourse3-4v-H2-EN
3662,apprentice,stagiair / stagiaire,Engels,Nederlands,Ofcourse3-4v-H2-EN
3663,compulsive,dwangmatig,Engels,Nederlands,Ofcourse3-4v-H2-EN
3664,demanding,veeleisend,Engels,Nederlands,Ofcourse3-4v-H2-EN
3665,District Attorney,procureur-generaal (AE) / procureur-generaal,Engels,Nederlands,Ofcourse3-4v-H2-EN
3666,eerie,akelig,Engels,Nederlands,Ofcourse3-4v-H2-EN
3667,to employ,in dienst hebben,Engels,Nederlands,Ofcourse3-4v-H2-EN
3668,encounter,ontmoeting,Engels,Nederlands,Ofcourse3-4v-H2-EN
3669,executive,leidinggevende / directeur,Engels,Nederlands,Ofcourse3-4v-H2-EN
3670,to exile,verbannen,Engels,Nederlands,Ofcourse3-4v-H2-EN
3671,extraordinary,uitzonderlijk,Engels,Nederlands,Ofcourse3-4v-H2-EN
3672,jeopardy,gevaar,Engels,Nederlands,Ofcourse3-4v-H2-EN
3673,to mask,verbergen,Engels,Nederlands,Ofcourse3-4v-H2-EN
3674,prospective,toekomstige / verwachte,Engels,Nederlands,Ofcourse3-4v-H2-EN
3675,to reveal,onthullen,Engels,Nederlands,Ofcourse3-4v-H2-EN
3676,spine,ruggegraat,Engels,Nederlands,Ofcourse3-4v-H2-EN
3677,staggering,ongelooflijk (groot) / ongelooflijk,Engels,Nederlands,Ofcourse3-4v-H2-EN
3678,stakes,inzet / weddenschap,Engels,Nederlands,Ofcourse3-4v-H2-EN
3679,triangle,driehoek,Engels,Nederlands,Ofcourse3-4v-H2-EN
3680,afhangen van,to depend on,Nederlands,Engels,Ofcourse3-4v-H2-NE
3681,bekend,familiar,Nederlands,Engels,Ofcourse3-4v-H2-NE
3682,beschrijving,description,Nederlands,Engels,Ofcourse3-4v-H2-NE
3683,benaderen,to approach,Nederlands,Engels,Ofcourse3-4v-H2-NE
3684,bestrijden,to fight,Nederlands,Engels,Ofcourse3-4v-H2-NE
3685,eisen,to demand,Nederlands,Engels,Ofcourse3-4v-H2-NE
3686,gemiddeld,average,Nederlands,Engels,Ofcourse3-4v-H2-NE
3687,helemaal,entirely,Nederlands,Engels,Ofcourse3-4v-H2-NE
3688,oplossen,to solve,Nederlands,Engels,Ofcourse3-4v-H2-NE
3689,oplossing voor,solution to,Nederlands,Engels,Ofcourse3-4v-H2-NE
3690,overtreder,offender,Nederlands,Engels,Ofcourse3-4v-H2-NE
3691,schatten,to estimate,Nederlands,Engels,Ofcourse3-4v-H2-NE
3692,straatdief,mugger,Nederlands,Engels,Ofcourse3-4v-H2-NE
3693,verafgelegen,remote,Nederlands,Engels,Ofcourse3-4v-H2-NE
3694,vergelijking,comparison,Nederlands,Engels,Ofcourse3-4v-H2-NE
3695,verkering hebben met,to date,Nederlands,Engels,Ofcourse3-4v-H2-NE
3696,voorkómen,to prevent,Nederlands,Engels,Ofcourse3-4v-H2-NE
3697,vrijheid,liberty,Nederlands,Engels,Ofcourse3-4v-H2-NE
3698,zakkenroller,pickpocket,Nederlands,Engels,Ofcourse3-4v-H2-NE
3699,aannemen / veronderstellen,to assume,Nederlands,Engels,Ofcourse3-4v-H2-NE
3700,aanwezigheid,presence,Nederlands,Engels,Ofcourse3-4v-H2-NE
3701,afnemen,to decrease,Nederlands,Engels,Ofcourse3-4v-H2-NE
3702,apparaatje,device,Nederlands,Engels,Ofcourse3-4v-H2-NE
3703,benadrukken,to emphasize,Nederlands,Engels,Ofcourse3-4v-H2-NE
3704,bereid om,willing,Nederlands,Engels,Ofcourse3-4v-H2-NE
3705,beschikbaarheid,availability,Nederlands,Engels,Ofcourse3-4v-H2-NE
3706,beschouwen,to consider,Nederlands,Engels,Ofcourse3-4v-H2-NE
3707,bestaand,existing,Nederlands,Engels,Ofcourse3-4v-H2-NE
3708,betreffen,to involve,Nederlands,Engels,Ofcourse3-4v-H2-NE
3709,conrector,assistant principal,Nederlands,Engels,Ofcourse3-4v-H2-NE
3710,daar komt nog bij,in addition,Nederlands,Engels,Ofcourse3-4v-H2-NE
3711,daling,drop,Nederlands,Engels,Ofcourse3-4v-H2-NE
3712,emmer,bucket,Nederlands,Engels,Ofcourse3-4v-H2-NE
3713,enorm effect,impact,Nederlands,Engels,Ofcourse3-4v-H2-NE
3714,er niet in slagen,to fail,Nederlands,Engels,Ofcourse3-4v-H2-NE
3715,gelden voor / slaan op,to apply to,Nederlands,Engels,Ofcourse3-4v-H2-NE
3716,geschikt,appropriate,Nederlands,Engels,Ofcourse3-4v-H2-NE
3717,geval,case,Nederlands,Engels,Ofcourse3-4v-H2-NE
3718,gewenst,desired,Nederlands,Engels,Ofcourse3-4v-H2-NE
3719,grens,limit,Nederlands,Engels,Ofcourse3-4v-H2-NE
3720,hol,hollow,Nederlands,Engels,Ofcourse3-4v-H2-NE
3721,in antwoord op,in response to,Nederlands,Engels,Ofcourse3-4v-H2-NE
3722,in praktijk brengen,to put into pratice,Nederlands,Engels,Ofcourse3-4v-H2-NE
3723,jeugd,youth,Nederlands,Engels,Ofcourse3-4v-H2-NE
3724,jongeren,youngsters,Nederlands,Engels,Ofcourse3-4v-H2-NE
3725,krachtig,powerful,Nederlands,Engels,Ofcourse3-4v-H2-NE
3726,kwestie,issue,Nederlands,Engels,Ofcourse3-4v-H2-NE
3727,lichamelijk,physical,Nederlands,Engels,Ofcourse3-4v-H2-NE
3728,liever dan,rather than,Nederlands,Engels,Ofcourse3-4v-H2-NE
3729,maatregel,measures,Nederlands,Engels,Ofcourse3-4v-H2-NE
3730,macht hebben over,to have control over,Nederlands,Engels,Ofcourse3-4v-H2-NE
3731,omgeving (omstandigheden) / omgeving,environment,Nederlands,Engels,Ofcourse3-4v-H2-NE
3732,ontbreken,to lack,Nederlands,Engels,Ofcourse3-4v-H2-NE
3733,ontwikkelen,to develop,Nederlands,Engels,Ofcourse3-4v-H2-NE
3734,opsporen,to trace,Nederlands,Engels,Ofcourse3-4v-H2-NE
3735,ordeprobleem,discipline problem,Nederlands,Engels,Ofcourse3-4v-H2-NE
3736,overtuiging,conviction,Nederlands,Engels,Ofcourse3-4v-H2-NE
3737,personeel,staff,Nederlands,Engels,Ofcourse3-4v-H2-NE
3738,pesten,to bully,Nederlands,Engels,Ofcourse3-4v-H2-NE
3739,plaatsvinden,to occur,Nederlands,Engels,Ofcourse3-4v-H2-NE
3740,plagen,to tease,Nederlands,Engels,Ofcourse3-4v-H2-NE
3741,poging,attempt,Nederlands,Engels,Ofcourse3-4v-H2-NE
3742,regelmatig,frequent,Nederlands,Engels,Ofcourse3-4v-H2-NE
3743,samenwerking,cooperation,Nederlands,Engels,Ofcourse3-4v-H2-NE
3744,schema / agenda,schedule,Nederlands,Engels,Ofcourse3-4v-H2-NE
3745,soortgelijk,similar,Nederlands,Engels,Ofcourse3-4v-H2-NE
3746,standpunt,view,Nederlands,Engels,Ofcourse3-4v-H2-NE
3747,uitspreken,to express,Nederlands,Engels,Ofcourse3-4v-H2-NE
3748,vaak voorkomend,frequent,Nederlands,Engels,Ofcourse3-4v-H2-NE
3749,variëren,to vary,Nederlands,Engels,Ofcourse3-4v-H2-NE
3750,verdienen,to deserve,Nederlands,Engels,Ofcourse3-4v-H2-NE
3751,verminderen,to reduce,Nederlands,Engels,Ofcourse3-4v-H2-NE
3752,verschaffen,to provide,Nederlands,Engels,Ofcourse3-4v-H2-NE
3753,verscheidene,several,Nederlands,Engels,Ofcourse3-4v-H2-NE
3754,verstrekkend,far-reaching,Nederlands,Engels,Ofcourse3-4v-H2-NE
3755,verwijzen naar,to refer to,Nederlands,Engels,Ofcourse3-4v-H2-NE
3756,waarde,value,Nederlands,Engels,Ofcourse3-4v-H2-NE
3757,weghouden van,to keep off,Nederlands,Engels,Ofcourse3-4v-H2-NE
3758,welzijn (gezondheid en geluk) / welzijn,well-being,Nederlands,Engels,Ofcourse3-4v-H2-NE
3759,zorgzaam,caring,Nederlands,Engels,Ofcourse3-4v-H2-NE
3760,aan sport doen,to play a sport,Nederlands,Engels,Ofcourse3-4v-H2-NE
3761,aanvankelijk,at first,Nederlands,Engels,Ofcourse3-4v-H2-NE
3762,betrouwbaar,reliable,Nederlands,Engels,Ofcourse3-4v-H2-NE
3763,bewonderen,to admire,Nederlands,Engels,Ofcourse3-4v-H2-NE
3764,cijfer,figure,Nederlands,Engels,Ofcourse3-4v-H2-NE
3765,de moeite nemen,to bother,Nederlands,Engels,Ofcourse3-4v-H2-NE
3766,doen denken aan,to remind,Nederlands,Engels,Ofcourse3-4v-H2-NE
3767,dwingen,to force,Nederlands,Engels,Ofcourse3-4v-H2-NE
3768,erg vinden,to mind,Nederlands,Engels,Ofcourse3-4v-H2-NE
3769,getuige,witness,Nederlands,Engels,Ofcourse3-4v-H2-NE
3770,geval,case,Nederlands,Engels,Ofcourse3-4v-H2-NE
3771,herkennen,to recognize,Nederlands,Engels,Ofcourse3-4v-H2-NE
3772,indruk maken op,to impress,Nederlands,Engels,Ofcourse3-4v-H2-NE
3773,kandidaat / deelnemer,contestant,Nederlands,Engels,Ofcourse3-4v-H2-NE
3774,negeren,to ignore,Nederlands,Engels,Ofcourse3-4v-H2-NE
3775,onderzoeken,to investigate,Nederlands,Engels,Ofcourse3-4v-H2-NE
3776,oorsprong,origin,Nederlands,Engels,Ofcourse3-4v-H2-NE
3777,podium,stage,Nederlands,Engels,Ofcourse3-4v-H2-NE
3778,serie,series,Nederlands,Engels,Ofcourse3-4v-H2-NE
3779,uiterlijk,appearance,Nederlands,Engels,Ofcourse3-4v-H2-NE
3780,van streek,upset,Nederlands,Engels,Ofcourse3-4v-H2-NE
3781,vastberadenheid,determination,Nederlands,Engels,Ofcourse3-4v-H2-NE
3782,verwarrend,confusing,Nederlands,Engels,Ofcourse3-4v-H2-NE
3783,vrije tijd,spare time,Nederlands,Engels,Ofcourse3-4v-H2-NE
3784,zelfvertrouwen,self-confidence,Nederlands,Engels,Ofcourse3-4v-H2-NE
3785,aankomst,arrival,Nederlands,Engels,Ofcourse3-4v-H2-NE
3786,aanvankelijk,initially,Nederlands,Engels,Ofcourse3-4v-H2-NE
3787,alleen (zonder hulp) / alleen,on my own,Nederlands,Engels,Ofcourse3-4v-H2-NE
3788,asielzoeker,asylum seeker,Nederlands,Engels,Ofcourse3-4v-H2-NE
3789,behandeling,treatment,Nederlands,Engels,Ofcourse3-4v-H2-NE
3790,belangrijkste,basic,Nederlands,Engels,Ofcourse3-4v-H2-NE
3791,beslist / absoluut,definitely,Nederlands,Engels,Ofcourse3-4v-H2-NE
3792,beweren,to claim,Nederlands,Engels,Ofcourse3-4v-H2-NE
3793,bureau,agency,Nederlands,Engels,Ofcourse3-4v-H2-NE
3794,dienstverlening,services,Nederlands,Engels,Ofcourse3-4v-H2-NE
3795,eerlijk gezegd,to be honest,Nederlands,Engels,Ofcourse3-4v-H2-NE
3796,gebied / omgeving,area,Nederlands,Engels,Ofcourse3-4v-H2-NE
3797,geboorteplaats,place of birth,Nederlands,Engels,Ofcourse3-4v-H2-NE
3798,geschikt (voor een bepaalde situatie) / geschikt,proper,Nederlands,Engels,Ofcourse3-4v-H2-NE
3799,gezondheid,health,Nederlands,Engels,Ofcourse3-4v-H2-NE
3800,grens,border,Nederlands,Engels,Ofcourse3-4v-H2-NE
3801,kunst- / niet echt,artificial,Nederlands,Engels,Ofcourse3-4v-H2-NE
3802,leiden / runnen,to run,Nederlands,Engels,Ofcourse3-4v-H2-NE
3803,moeilijk / lastig,tough,Nederlands,Engels,Ofcourse3-4v-H2-NE
3804,omsingeld door,surrounded,Nederlands,Engels,Ofcourse3-4v-H2-NE
3805,onderkomen voor daklozen,hostel,Nederlands,Engels,Ofcourse3-4v-H2-NE
3806,onderzoek naar,investigation into,Nederlands,Engels,Ofcourse3-4v-H2-NE
3807,ongeschikt,unsuitable,Nederlands,Engels,Ofcourse3-4v-H2-NE
3808,oplossen,to sort out,Nederlands,Engels,Ofcourse3-4v-H2-NE
3809,plafond,ceiling,Nederlands,Engels,Ofcourse3-4v-H2-NE
3810,"rij (mensen, auto’s) / rij",queue,Nederlands,Engels,Ofcourse3-4v-H2-NE
3811,scheerapparaat,razor,Nederlands,Engels,Ofcourse3-4v-H2-NE
3812,scheermes,razor blade,Nederlands,Engels,Ofcourse3-4v-H2-NE
3813,schuld,debt,Nederlands,Engels,Ofcourse3-4v-H2-NE
3814,steun / hulp,support,Nederlands,Engels,Ofcourse3-4v-H2-NE
3815,tijdelijk,temporary,Nederlands,Engels,Ofcourse3-4v-H2-NE
3816,tolk,interpreter,Nederlands,Engels,Ofcourse3-4v-H2-NE
3817,verslag,report,Nederlands,Engels,Ofcourse3-4v-H2-NE
3818,verwijderen,to remove,Nederlands,Engels,Ofcourse3-4v-H2-NE
3819,wachtkamer,waiting room,Nederlands,Engels,Ofcourse3-4v-H2-NE
3820,weigeren,to refuse,Nederlands,Engels,Ofcourse3-4v-H2-NE
3821,aanbidden,to worship,Nederlands,Engels,Ofcourse3-4v-H2-NE
3822,achterbuurt,slums,Nederlands,Engels,Ofcourse3-4v-H2-NE
3823,advertentie,ad,Nederlands,Engels,Ofcourse3-4v-H2-NE
3824,armoede,poverty,Nederlands,Engels,Ofcourse3-4v-H2-NE
3825,baan / functie,post,Nederlands,Engels,Ofcourse3-4v-H2-NE
3826,bedriegen,to cheat,Nederlands,Engels,Ofcourse3-4v-H2-NE
3827,bezit,possession,Nederlands,Engels,Ofcourse3-4v-H2-NE
3828,blijven,to remain,Nederlands,Engels,Ofcourse3-4v-H2-NE
3829,buitenkant,surface,Nederlands,Engels,Ofcourse3-4v-H2-NE
3830,daarom,therefore,Nederlands,Engels,Ofcourse3-4v-H2-NE
3831,dwingen,to force,Nederlands,Engels,Ofcourse3-4v-H2-NE
3832,echt,genuine,Nederlands,Engels,Ofcourse3-4v-H2-NE
3833,eigenlijk,really,Nederlands,Engels,Ofcourse3-4v-H2-NE
3834,fatsoenlijk / aardig,decent,Nederlands,Engels,Ofcourse3-4v-H2-NE
3835,geneigd zijn,to tend,Nederlands,Engels,Ofcourse3-4v-H2-NE
3836,in antwoord op,in reply to,Nederlands,Engels,Ofcourse3-4v-H2-NE
3837,in de vierde klas,in the fourth form,Nederlands,Engels,Ofcourse3-4v-H2-NE
3838,in feite,as a matter of fact,Nederlands,Engels,Ofcourse3-4v-H2-NE
3839,indruk proberen te maken,to show off,Nederlands,Engels,Ofcourse3-4v-H2-NE
3840,"kassa (theater, bioscoop) / kassa",box office,Nederlands,Engels,Ofcourse3-4v-H2-NE
3841,kijker,viewer,Nederlands,Engels,Ofcourse3-4v-H2-NE
3842,medewerker,attendant,Nederlands,Engels,Ofcourse3-4v-H2-NE
3843,medewerker / collega,co-worker,Nederlands,Engels,Ofcourse3-4v-H2-NE
3844,menigte,crowd,Nederlands,Engels,Ofcourse3-4v-H2-NE
3845,met de veerboot,by ferry,Nederlands,Engels,Ofcourse3-4v-H2-NE
3846,op die manier,in that way,Nederlands,Engels,Ofcourse3-4v-H2-NE
3847,op het vwo zitten,to attend a school of pre-university education,Nederlands,Engels,Ofcourse3-4v-H2-NE
3848,opzettelijk,deliberately,Nederlands,Engels,Ofcourse3-4v-H2-NE
3849,overtuigend,convincing,Nederlands,Engels,Ofcourse3-4v-H2-NE
3850,rechtbank,court,Nederlands,Engels,Ofcourse3-4v-H2-NE
3851,regisseur,director,Nederlands,Engels,Ofcourse3-4v-H2-NE
3852,rondhangen,to hang out,Nederlands,Engels,Ofcourse3-4v-H2-NE
3853,schijnbaar,seemingly,Nederlands,Engels,Ofcourse3-4v-H2-NE
3854,sollicitatiegesprek,job interview,Nederlands,Engels,Ofcourse3-4v-H2-NE
3855,solliciteren naar,to apply for,Nederlands,Engels,Ofcourse3-4v-H2-NE
3856,spreekvaardigheid,fluency,Nederlands,Engels,Ofcourse3-4v-H2-NE
3857,"toevallig (zien, tegenkomen) / toevallig",happened,Nederlands,Engels,Ofcourse3-4v-H2-NE
3858,tv-presentator,TV host,Nederlands,Engels,Ofcourse3-4v-H2-NE
3859,uiteindelijk,ultimately,Nederlands,Engels,Ofcourse3-4v-H2-NE
3860,vacature,vacancy,Nederlands,Engels,Ofcourse3-4v-H2-NE
3861,verbeteren,to improve,Nederlands,Engels,Ofcourse3-4v-H2-NE
3862,verdenking,suspicion,Nederlands,Engels,Ofcourse3-4v-H2-NE
3863,vereiste,requirement,Nederlands,Engels,Ofcourse3-4v-H2-NE
3864,verloofde / fiancée,fiancé,Nederlands,Engels,Ofcourse3-4v-H2-NE
3865,verloving met,engagement to,Nederlands,Engels,Ofcourse3-4v-H2-NE
3866,verraad,betrayal,Nederlands,Engels,Ofcourse3-4v-H2-NE
3867,verslaafd aan,addicted to,Nederlands,Engels,Ofcourse3-4v-H2-NE
3868,vooral,especially,Nederlands,Engels,Ofcourse3-4v-H2-NE
3869,voorstad,suburb,Nederlands,Engels,Ofcourse3-4v-H2-NE
3870,tamelijk,quite / rather,Nederlands,Engels,Ofcourse3-4v-H2-NE
3871,wanhopig,desperate,Nederlands,Engels,Ofcourse3-4v-H2-NE
3872,weeskind,orphan,Nederlands,Engels,Ofcourse3-4v-H2-NE
3873,werkgever,employer,Nederlands,Engels,Ofcourse3-4v-H2-NE
3874,werknemer,employee,Nederlands,Engels,Ofcourse3-4v-H2-NE
3875,zich afspelen in,to be set in,Nederlands,Engels,Ofcourse3-4v-H2-NE
3876,afterlife,hiernamaals,Engels,Nederlands,Ofcourse3-4v-H3-EN
3877,ancient,zeer oud,Engels,Nederlands,Ofcourse3-4v-H3-EN
3878,artefact,kunstvoorwerp,Engels,Nederlands,Ofcourse3-4v-H3-EN
3879,carving,gravure,Engels,Nederlands,Ofcourse3-4v-H3-EN
3880,certified,bevoegd / gediplomeerd,Engels,Nederlands,Ofcourse3-4v-H3-EN
3881,to claim,opeisen / eisen,Engels,Nederlands,Ofcourse3-4v-H3-EN
3882,decade,decennium / periode van 10 jaar,Engels,Nederlands,Ofcourse3-4v-H3-EN
3883,decayed,vervallen,Engels,Nederlands,Ofcourse3-4v-H3-EN
3884,defeat,nederlaag,Engels,Nederlands,Ofcourse3-4v-H3-EN
3885,on display,tentoongesteld,Engels,Nederlands,Ofcourse3-4v-H3-EN
3886,to embark on,beginnen aan,Engels,Nederlands,Ofcourse3-4v-H3-EN
3887,endurance,uithoudingsvermogen,Engels,Nederlands,Ofcourse3-4v-H3-EN
3888,excavation,opgraving / uitgraving,Engels,Nederlands,Ofcourse3-4v-H3-EN
3889,life raft,reddingsvlot,Engels,Nederlands,Ofcourse3-4v-H3-EN
3890,marble,marmer / marmeren,Engels,Nederlands,Ofcourse3-4v-H3-EN
3891,passion,hartstocht / hevig verlangen,Engels,Nederlands,Ofcourse3-4v-H3-EN
3892,to preserve,bewaren,Engels,Nederlands,Ofcourse3-4v-H3-EN
3893,prodigy,wonderkind,Engels,Nederlands,Ofcourse3-4v-H3-EN
3894,pursuit,bezigheid,Engels,Nederlands,Ofcourse3-4v-H3-EN
3895,runner-up,tweede (in een race) / tweede,Engels,Nederlands,Ofcourse3-4v-H3-EN
3896,storage,opslag,Engels,Nederlands,Ofcourse3-4v-H3-EN
3897,stroller,wandelwagen (AE) / wandelwagen,Engels,Nederlands,Ofcourse3-4v-H3-EN
3898,to take refuge,schuilplaats zoeken,Engels,Nederlands,Ofcourse3-4v-H3-EN
3899,tracksuit,trainingspak,Engels,Nederlands,Ofcourse3-4v-H3-EN
3900,vibrant,levendig,Engels,Nederlands,Ofcourse3-4v-H3-EN
3901,victory,overwinning,Engels,Nederlands,Ofcourse3-4v-H3-EN
3902,armed with,bewapend met,Engels,Nederlands,Ofcourse3-4v-H3-EN
3903,blinds,rolgordijn,Engels,Nederlands,Ofcourse3-4v-H3-EN
3904,to be charged with,beschuldigd zijn van,Engels,Nederlands,Ofcourse3-4v-H3-EN
3905,clue,aanwijzing,Engels,Nederlands,Ofcourse3-4v-H3-EN
3906,crook,oplichter,Engels,Nederlands,Ofcourse3-4v-H3-EN
3907,defendant,verdachte,Engels,Nederlands,Ofcourse3-4v-H3-EN
